country,time,week,valence_score,gdpdev,gdplevel
austria,2021-01-10,2021-W02,0.5313,-0.06728923534938386,92.72119484928814
austria,2021-01-17,2021-W03,0.5386,-0.08315739960826038,91.28623542481834
austria,2021-01-24,2021-W04,0.5523999999999999,-0.05787382015057041,93.64062547890201
austria,2021-01-31,2021-W05,0.5365,-0.06798633125716923,92.71521026829961
austria,2021-02-07,2021-W06,0.5476000000000001,-0.05423311685115495,94.02463730687612
austria,2021-02-14,2021-W07,0.5597,-0.03035140232918977,96.31453962650556
austria,2021-02-21,2021-W08,0.5597000000000001,-0.04260780349185956,95.15847098160158
austria,2021-02-28,2021-W09,0.5597000000000001,-0.05366954794392797,94.1371692402294
austria,2021-03-07,2021-W10,0.5233,-0.04741264545883329,94.74514446477309
austria,2021-03-14,2021-W11,0.5069999999999999,-0.04712645214835623,94.78939337538843
austria,2021-03-21,2021-W12,0.5521999999999999,-0.02886614159312718,96.56235082011912
austria,2021-03-28,2021-W13,0.5516000000000001,-0.04404883769409638,95.12453754838872
austria,2021-04-04,2021-W14,0.5516,-0.02570305724272973,96.90328930498868
austria,2021-04-11,2021-W15,0.5736000000000001,-0.02595180509338726,96.90545463361235
austria,2021-04-18,2021-W16,0.5736000000000001,-0.03923591602250582,95.64394845761288
austria,2021-04-25,2021-W17,0.5621,-0.03480350011490762,96.0861870813188
austria,2021-05-02,2021-W18,0.5639,-0.02253715338278982,97.29844527468342
austria,2021-05-09,2021-W19,0.5639,-0.01847185213255197,97.71245570309458
belgium,2019-11-10,2019-W45,0.6154,0.02456845938925743,99.96775835025048
belgium,2019-11-17,2019-W46,0.632,0.02562639139885506,100.0942197648885
belgium,2019-11-24,2019-W47,0.6076,0.03197969693789816,100.7633483007445
belgium,2019-12-01,2019-W48,0.6301,0.02906508259114621,100.490817742231
belgium,2019-12-08,2019-W49,0.6301,0.0239468913992459,99.99842710543524
belgium,2019-12-15,2019-W50,0.6301,0.02907175309166085,100.5433275418416
belgium,2019-12-22,2019-W51,0.6295,0.02682956676052976,100.338840032188
belgium,2019-12-29,2019-W52,0.6533,0.03004164744882116,100.6824223468665
belgium,2020-01-05,2020-W01,0.6115,0.01342520058830973,99.05390716731164
belgium,2020-01-12,2020-W02,0.681,0.01882918537095965,99.61118864732099
belgium,2020-01-19,2020-W03,0.6295,0.01578158507940324,99.32856410717997
belgium,2020-01-26,2020-W04,0.6301,0.01342048696155947,99.12498434517288
belgium,2020-02-02,2020-W05,0.6300999999999999,0.02206305860497507,100.0060200026676
belgium,2020-02-09,2020-W06,0.659,0.01533671594608488,99.35609660911548
belgium,2020-02-16,2020-W07,0.659,0.01797941764059269,99.64984284370725
belgium,2020-02-23,2020-W08,0.659,0.02180858868949624,100.0527884452201
belgium,2020-03-01,2020-W09,0.6607999999999999,0.009368145774971394,98.83618461815233
belgium,2020-03-08,2020-W10,0.659,-0.02055014590873967,95.95265789429617
belgium,2020-03-15,2020-W11,0.659,-0.1354390670165429,85.55609924673102
belgium,2020-03-22,2020-W12,0.6074999999999999,-0.2031290319428664,79.97296323030561
belgium,2020-03-29,2020-W13,0.6582999999999999,-0.2121234256635422,79.28140881739706
belgium,2020-04-05,2020-W14,0.6231999999999999,-0.2155136205886757,79.02938581324891
belgium,2020-04-12,2020-W15,0.6232,-0.2119591655185242,79.32715479433217
belgium,2020-04-19,2020-W16,0.595,-0.209391528876653,79.55571339760026
belgium,2020-04-26,2020-W17,0.5950000000000001,-0.181349497845443,81.83507121926644
belgium,2020-05-03,2020-W18,0.5889,-0.1742011279074794,82.43915909044773
belgium,2020-05-10,2020-W19,0.5766,-0.1262014056112669,86.51949063420714
belgium,2020-05-17,2020-W20,0.5921,-0.1165965054161452,87.37252767045592
belgium,2020-05-24,2020-W21,0.6321,-0.1173463426580368,87.32504952519335
belgium,2020-05-31,2020-W22,0.6195999999999999,-0.1069383929111717,88.2659788939952
